id,date,author,shortDescription,longDescription,status,useCaseReference,documentReference,approver,acceptanceCriterion,priority,userScope,dueDate,conflicts,dependencies,comments,category,revision,createdAt,updatedAt,historyJson
GM-001,2026-05-12,Design Team,Create Party Session,GameMaster shall be able to create a new game session before the party starts,Draft,UC-Setup-01,Game Design Doc v0.1,Product Owner,New game session can be created and saved,High,GameMaster,2026-06-01,None,None,Core feature | Changelog: Initial requirement,Game Setup,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-002,2026-05-12,Design Team,Enter Player List,GameMaster shall be able to enter and edit a list of participating players using a desktop-optimized interface,Draft,UC-Setup-02,UI Spec Desktop,Product Owner,"Player names can be added, edited, and removed",High,GameMaster,2026-06-01,None,GM-001,Desktop-first UX | Changelog: Initial requirement,Game Setup,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-003,2026-05-12,Design Team,Enter Word List,GameMaster shall be able to enter and edit a list of possible target words,Draft,UC-Setup-03,UI Spec Desktop,Product Owner,Word list persists after save,High,GameMaster,2026-06-01,None,GM-001,Support bulk paste | Changelog: Initial requirement,Game Setup,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-004,2026-05-12,Design Team,Generate Circular Assignment Graph,System shall generate a circular player assignment graph with random target words,Draft,UC-Assignment-01,Algorithm Spec,Technical Lead,Every player receives exactly one target and one pursuer,Critical,System,2026-06-05,None,GM-002;GM-003,No self-targeting allowed | Changelog: Initial requirement,Core Gameplay,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-005,2026-05-12,Design Team,Prevent Duplicate Target Assignment,System shall prevent a player from being assigned to themselves,Draft,UC-Assignment-02,Algorithm Spec,Technical Lead,No generated graph contains self-references,Critical,System,2026-06-05,None,GM-004,Validation required | Changelog: Initial requirement,Core Gameplay,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-001,2026-05-12,Design Team,Join Party Lobby,Players shall be able to join a game lobby from their mobile device,Draft,UC-Join-01,Mobile UX Spec,Product Owner,Player successfully enters lobby,Critical,Player,2026-06-10,None,GM-001,Mobile-first design | Changelog: Initial requirement,Lobby System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-002,2026-05-12,Design Team,Generate Lobby Code,System shall generate a unique 4-character alphanumeric lobby code for each joining player,Draft,UC-Join-02,Backend Spec,Technical Lead,No duplicate active codes exist,High,System,2026-06-10,None,PL-001,Case-insensitive | Changelog: Initial requirement,Lobby System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-006,2026-05-12,Design Team,View Waiting Players,GameMaster shall be able to see all unassigned lobby participants on mobile,Draft,UC-Lobby-01,Mobile GM Spec,Product Owner,Waiting users appear in real-time,High,GameMaster,2026-06-12,None,PL-001,Real-time sync required | Changelog: Initial requirement,Lobby System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-007,2026-05-12,Design Team,Associate Lobby Code to Identity,GameMaster shall be able to connect a player identity to a lobby code,Draft,UC-Lobby-02,Backend Spec,Product Owner,Assigned player receives identity successfully,Critical,GameMaster,2026-06-12,None,GM-006,Manual verification flow | Changelog: Initial requirement,Lobby System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-003,2026-05-12,Design Team,Display Target Player,Player shall see their assigned target player after assignment,Draft,UC-Gameplay-01,Mobile Player UX,Product Owner,Target displayed correctly,Critical,Player,2026-06-15,None,GM-004,Hide from screenshots later | Changelog: Initial requirement,Gameplay,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-004,2026-05-12,Design Team,Display Target Word,Player shall see their assigned target word after assignment,Draft,UC-Gameplay-02,Mobile Player UX,Product Owner,Word displayed correctly,Critical,Player,2026-06-15,None,GM-004,Secure visibility | Changelog: Initial requirement,Gameplay,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-005,2026-05-12,Design Team,Register Kill via Badge,Killer shall be able to register a kill by entering the victim’s badge code,Draft,UC-Kill-01,Badge System Spec,Technical Lead,Valid badge confirms kill,Critical,Player,2026-06-20,None,PL-003,Anti-cheat validation needed | Changelog: Initial requirement,Kill System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-006,2026-05-12,Design Team,Remove Dead Player from Graph,System shall remove killed players from the circular target graph,Draft,UC-Kill-02,Gameplay Logic Spec,Technical Lead,Dead player no longer appears as active,Critical,System,2026-06-20,None,PL-005,Real-time update | Changelog: Initial requirement,Kill System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-007,2026-05-12,Design Team,Inherit Target and Word,Killer shall inherit the target and target word of the killed player,Draft,UC-Kill-03,Gameplay Logic Spec,Technical Lead,Killer receives updated mission,Critical,Player,2026-06-20,None,PL-006,Atomic transaction required | Changelog: Initial requirement,Kill System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
PL-008,2026-05-12,Design Team,Display Death Screen,Eliminated players shall see who killed them and which word triggered elimination,Draft,UC-Kill-04,Mobile UX Spec,Product Owner,Death information displayed immediately,Medium,Player,2026-06-20,None,PL-005,Emotional UX important | Changelog: Initial requirement,Kill System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
